Job,Skills/Keywords
Data Engineering Application Developer,"Data Analysis, Azure cloud, data mining, AWS, Interpersonal skills, Spark ML, Computer science, PySpark, PowerBI, Spark SQL, Microsoft Azure PaaS, Oracle, AWS BigData, Data Stage, C#, Analytical skills, Testing, Druid, Lambda, REST, NoSQL, Analytical, Bitbucket, RDBMS, Flask APIs, AWS services, Operations, Flink, communication, object - oriented programming, Docker, micro - batches, analytical, Data migration, Business intelligence, Coding, Data Capture CDC, Data flow, PostgreSQL Administration, Data quality, Airflow, Cloud Composer, NOSQL, Consulting, Data Engineering, Cassandra, data modeling, python, Communication, Configuration management, Programming, data ingestion patterns, Cloudera, Redshift, Kafka, SCALA, SQL Server, Business process, MongoDB, Memcached, BigTable, ELT, Databricks, Data management, System engineering, DevOps, PyTorch4, Datastage, oral communication, Data analytics, S3, AWS Redshift, Team management, Apache, ProC, Azure SQL, data ingestion, data analysis, CI / CD, storage, Oracle Procedural, Google Cloud platform, HBase, Java Enterprise, ETL, Amazon Web Services, Project management, Cloud Data Fusion, MPP, Azure, data mapping, Bigquery, Data Integration, Data Modelling, agile, Kinesis, Pub / Sub, SQL, Manager Technology, Network operations, Spark Scala, Architecture, DBA, Java, Ansible, Tableau, Apache Airflow, Power BI, Cloud, data warehousing, IT Skills, System design, Db2, Team building, Machine Learning, PAAS, DynamoDB, scikit, Product design, Azure Databricks, Data modeling, Data Mining, professional services, Python, withGCP, GCP, BigQuery, Shell, Spark, Data Analytics, written, EMR, Athena, Data Proc, Scala, Big Data, Stored procedures, Data analysis, Apache Spark, Data warehousing, CouchDB, Analytics"
Data Warehouse Engineer,"Consulting, AWS, Computer science, Oracle, Data modeling, Python, Unit testing, Business analytics, Testing, metadata, Front end, Troubleshooting, SQL, Integration testing, QMS, Performance tuning, ISO 9001, Software development life cycle, Manager Technology, RDBMS, Software Development, Apache, Business intelligence, Coding, Data mining, Informatica, IT Skills, Data structures"
QA Data Engineer,"Python, qa data management, Data Architecture, Testing, qa data, QA data engineer, IT Skills, Software Development"
Staff Data Engineer - Data Analytics & Reporting,"Python, AWS, Power BI, Testing, Cloud, Computer science, IT Skills, Tableau"
Staff Data Engineer,"data mining, MapReduce, Object oriented programming, Computer science, Cloud Data Stacks, Oracle, architecture, Testing, metadata, Angular, Maven, NoSQL, Compliance, Analytical, Performance tuning, deep learning, SOA, REST APIs, Business analysis, Operations, Coding, data structures, spark, Technical design, XML, Data quality, Debugging, Automation, Tez, MySQL, Schema, Kubernetes, build automation, Production support, customer analytics, SAN, Kafka, SCALA, Gaming, MongoDB, software development, Data warehouse modeling, data engineering, Hive, DevOps, Postgres, Test cases, PDF, Finance, Software Development, Apache, Cloud Data, Data Science, big data, hive, object oriented programming, Automation Framework, Data structures, ETL, machine learning, Project management, Agile, Elastic Search, data science, SQL, Stash, Distribution system, Software development life cycle, jQuery, Network operations, Java, Siebel, Tableau, Hadoop, Big Data Engineering, Product Management, Cloud, IT Skills, Supervision, Javascript, SAP, Db2, Machine Learning, Neural Networks, Monitoring, Unix, Backend, Data modeling, Python, Automation testing, Data Structures, Supply chain, Open source, Windows, HDFS, Linux, Spark, Jenkins, Core Java, test driven development, Design Patterns, Machine learning, Scala, Artificial Intelligence, Big Data, Data analysis, development lifecycle, Marketing support, Hibernate"
Data Engineer: Data Modeling,"SAP, Data Vault, Interpersonal skills, Programming, PySpark, Monitoring, Data modelling, agile methodologies, data lake, Teradata, Agile, Data modeling, Python, Unix Shell Scripting, Wherescape 3D, metadata, Supply chain, modelling, SQL scripting, Data architecture, SQL, Hive, Unix shell scripting, Spark, NoSQL, Creative designing, Architecture, Business analysis, Java, communication, Conflict resolution, Coding, Hadoop, Business intelligence, Time management, SQL Scripting, data cleansing, Debugging, IT Skills, ETL, Data Modeling"
Software Developer - Knowledge Graph Data Engineer,"Consulting, Analytical, JDBC, RDBMS, Tomcat, GIT, Hibernate, JPA"
Ecosystem Junior Data Engineer,"Python, Testing, written communication, databases administration, prep, IT Skills, SQL, ETL"
Big Data Developer/Lead,"Big Data, SCALA, core java, HBase, Hive, Spark"
Senior Data Analyst/BI Developer,"Data Analysis, Testing, IT Skills, Agile, Data Analytics"
Data Analyst/ Senior Data analyst,"statistical testing, R, SAS, Tableau reporting, campaign execution, Data analyst, marketing analytics, model scoring"
Senior Analyst Data Analytics,"Consulting, VB, SAS, Financial services, Data management, MS Access, Oracle, Project management"
Data analyst,"Data Analyst, SAS, Product management, Advanced Excel, Teradata, Oracle, Business modeling, Data modeling, SQL Server, Macros, drafting, HR, risk management, Data management, Pharma, Business Associate, SQL, Excel, Analytical, Pivot Table, communication, Charts, data Analytics, Process development, Data analysis, Healthcare, Procurement, Management, Active directory, data analysis, Biotechnology, Analytics, Content writing, Networking, BI development"
Data Management and Landscape Transformation Senior Consultant,"SAP, Python, Project Management, Machine Learning, Cloud, Java, IT Skills, SAP S/4HANA, Data Science, Data Management"
GCP Data Analyst,"RDMS, SQLServer, DWH, Gcp Cloud, GCS, ELT, Dataproc, Oracle"
Immediate opening For GCP - Data Analyst / Specialist,"BPO, technical support, SFMC, data modeling, data analysis, SSJS, data analyst, SQL"
Business Analyst (Data Analyst role),"tableau, Data Analyst, Customer service, Computer science, Excel, Microstrategy, Business Analyst, SQL database"
Senior Data Architect,"data visualization, GCP Hadoop & Hadoop, Computer science, Data Architect GCP & Bigquery RDBMS, Pyspark, Data modeling, SCALA, Database administration, Data management, BigQuery, Data Engineer, S3, big data architect, Machine learning, big data analytics, Performance management, Big Data, Github, Software design, Change management, Data processing, Project management"
Data Analytics and Insights Senior Consultant,"Data analysis, Business process, Data analytics, data visualization, data science, advanced analytics, power bi, Computer science"
Guidewire Data Business Analyst,"Requirement gathering, data migration, Business Analysis, data analysis, SQL, Source System Analysis, data warehouse, data mapping"
Financial Data Analyst - FIG,"Financial Statements, Data Analysis, Ratio analysis, Trend Analysis, Accounting, Capital Market, Finance, Financial Statement Analysis"
Hiring Data Analyst For Pune & Hyderabad,"Data, Visualisation, Flask, jupyter, hadoop, Elasticsearch, Tableau, Spark"
Data/Business Analyst,"Consulting, Data analysis, Data analytics, Analytical skills, Visual Basic, Business Analyst, Troubleshooting, Excel"
Denave Hiring Data Analyst Bengaluru Location,"Advance excel, Analytics Data, data analysis, Business Analytics, Tableau, Data Visualizations, Power Bi, Data Science"
Data Analysts with Business Analysis,"DOMO, Data Analysts with Business Analysis, Power BI, IT Skills, Informatic, SQL queries, Tableau, Excel"
Business/ Data/ Product/ Analyst - Analytics - eCommerce- IIT/NIT/BITS,"Python, Business Analysis, Analytics, SQL, Data Analytics, Data Management"
Data Quality Analyst (Work from Office- Hybrid),"Python, Equity, Unix Shell Scripting, Derivatives, Fixed Income, Java, Corporate Actions, SQL"
Urgent hiring For real estate data analyst WFH,"Data Entry, Data Processing"
Business Analyst - Data,"Data Lakes, Site Operation, Data analysis, MS Azure, stakeholder management, POS, BOS, Wet Stock Business"
Business Analyst / Data Analyst,"Data Analysis, Consulting, Mis Analysis, SDLC, AI, Test design, business analysis, Managed services, data science, Business Analysis, Business Analytics, Data, Data Analytics, Software development life cycle, Data analytics, Data Interpretation, MIS, MDM, Business Analyst, data quality, data analysis, Software services"
Business / Data/ Product / Analyst - Analytics - IIT/ NIT/ BITS,"Advanced SQL, Python, R, Business Analysis, Analytics, Advanced Excel, Data Management"
MIS Data Analyst (Sales Analytics) - Bangalore,"advanced excel, Data Analysis, sales analytics, Pivot Table, VLOOKUP, Formulas, Charts"
"Analyst, Ethics and Compliance Data Analytics and Monitoring","tableau, Compliance, Data analysis, Data analytics, Management, Visual Basic, VLOOKUP, SQL"
Data Analyst - IIM/ISB/MDI/FMS/SP Jain,"Data Analysis, communication skills, software solution, data mining, Quality Assurance, relational data, metadata, written, Managing, addressing, IT Skills, verbal communication, Data Management"
Business and Data Analyst - Alphonso,"Analytical, Account management, Data Analyst, Campaigns, Management, Advertising, digital advertising, Ad operations"
Big Data Analyst - Part time,"NoSQL, spark, cassandra, MongoDB, big data analyst, SQL, Oracle, MySQL"
Data Visualization / Analyst,"tableau, Manager Technology, MIS reporting, data visualization, Hospitality, power bi, Automation, Gap analysis"
"Analyst / Reference Data Analyst, NCT","Diversity and Inclusion, Continuous improvement, Taxation, Root cause analysis, Change management, Stakeholder management, Training and Development, International taxation"
"Data Analyst - SQL SSIS and Snowflake - Noida, UP","Data Analysis, Technical Leadership, Technology Solutions, SQL Queries, Snowflake, Alteryx, ETL, Tableau"
"Data Analyst, Trust and Safety, Payments","Javascript, Data analysis, PHP, Computer science, Analytics, Machine learning, analysis, Coding"
Deputy Manager - Data Analyst,"Data Analyst, Data analytics, Vendor, Analytical skills, RFQ, Advanced Excel, Techno-commercial, pricing analysis"
Data Analyst - Data Science - NX,"Analytical, Data analysis, Product engineering, Business intelligence, Simulation, Business analysis, Product management, Data modeling"
Data Analyst ( On Contract ),"tableau, Javascript, Data Analyst, data visualization, Analytical skills, power bi, Manager Quality Assurance, microsoft"
ITAO & Data Analyst AFC Compliance NFRM,"Compliance, Data Analyst"
Hiring Data Analysts _Pune Location,"Written communication, Python, MATLAB, data analysis, Apache Spark, ETL frameworks, Oracle, Qlik"
Content Writer - Data Analyst,"English Writing, Analytical Skills, Strategic Thinking, Communication Skills"
Data Transformation Analyst II,"Analytical, Word, Salesforce, Microsoft Office, Computer science, IT Skills, verbal communication, Excel"
Data Analyst/MIS sales support,"excel, Data Analysis, sales coordination, MIS, Dashboards, Sales Support"
Data Tranformation Analyst II,"market data, Analytical, Analyst II, IHS, Research, Web services, Data research, Time management"
"Business Systems Analyst, SAP, Data Works","datastage, Reltio, API frameworks, SQL, Informatica, ERP, ETL, analytical"
Data Analyst ( FTE Position ),"Analytical, Customer support, Assurance, French, Product management, Data management, Support services, Data migration"
Business Data Analyst - Marketing,"Data analysis, Business analytics, Power BI, SPSS, SAS, Computer science, Data mining, IT Skills, Operations research, Tableau, Predictive modeling"
Data Analyst 2,"Forecasting, Analytical, Data Analyst, Financial services, Computer science, Monitoring, Reporting tools, Risk management"
"Data Analyst, FinTech","Mining, Analytical, data visualization, Root cause analysis, Computer science, Bioinformatics, Financial reporting, Downstream"
Analyst - Data Science,"Data Analysis, Python, Power BI, Technology solutions, Machine Learning, SAS, SQL Seam framework, Data validation, PIVOT, Excel, IT Skills, analysis, Tableau, Data Science"
BUSINESS DATA ANALYST - NETWORK DESIGN,"SCM, Business Data Analyst, Network design"
Data Research Analyst,"Data Analysis, Data Analyst, Market research, Data collection, Research, Outsourcing, Social media, Excel, Process improvement, Data Research Analyst, Typing speed, MIS, Data Reporting, Data Research, Healthcare, Email marketing, Internet research, Process automation, Issue resolution, Bloomberg, Fixed income"
Business Data Analyst - Network Design,"Network design, Data analytics, Ventilation, Supply chain, Supply chain solutions, SCM, Refrigeration, Business Data Analyst"
ESG Junior Data Analyst (Mandarin Speaking),"Analytical, Environmental science, Root cause analysis, Data collection, Business Finance, Business research, ISS, MS Office"
Lead Software Engineer - Big Data,"Kafka, Big Data, AGILE methodology, Cassandra, Apache Spark, HBase, ETL, SQL queries"
Data Science Engineer - IIT/NIT/BITS,"PowerBi, Python, data science, Machine Learning, written, scipy, numpy, communication, pandas, Tensor flow"
Cloud Engineer - Big Data/ETL,"Big Data, DevOps, LINUX, Windows, OLAP, Azure, ETL, Streaming"
Lead Data Engineer - Operational Analytics,"AWS, Business process, Cloud, IT Skills, Azure, Tableau, Salesforce, Process improvement"
Technical Lead - Data Engineering,"Design review, big data, metadata, Master data management, Technical Lead, Data mining, Database design, Data quality, Analytics, data security, Application development, Engineering projects, Apache, Support services, Coding, Hadoop"
Data Lead Engineer - Pre - Sales,"Big Data, AWS, Cloud, IT Skills, Azure, MS SQL, Oracle, Data migration"
Lead Data Solution Engineer,"Big Data, Python, Performance tuning, Java, Computer science, Debugging, OLAP, IT Skills"
Associate Data Processing Analyst,"Managed services, Quality audit, Data Processing Analyst, MS Word, PDF, Monitoring, Excel, Trade"
Associate Data Management Analyst,"Microsoft Suite, PLSQL, written communication, verbal, SQL, IT Skills, data management, Excel"
Associate Data Programming Analyst,"Managed services, Quality audit, SQL database, Programmer Analyst, Database Associate, PDF, Excel, Trade"
Data Centre - Lead Engineer,"Electrical design, Data analysis, Assurance, Competitive analysis, Architecture, Disaster recovery, Capacity management, System architecture"
"Opening For Senior DATA Engineer - ETL, Spark, Scala & AWS | PAN India","SCALA, SPARK, AWS, IT Skills, ETL"
Sr Azure Data Engineer Remote,"Synapse, Data Engineering, Azure Data Engineer, Azure, Pyspark, ADF, Data Lake"
Senior Data Platform Engineer,"Ruby, Distribution system, MySQL, Computer science, Automation, Monitoring, Unix shell scripting, Perl"
Associate Consultant - Data Visualization,"Access management, data visualization, Front end, Cloud, Business intelligence, Computer science, Data warehousing, Data modeling"
Sr Data Engineer - Azure,"Big Data, Python, AWS, Machine Learning, Cloud, Java, IT Skills, Azure"
Data Engineer/ Senior Data Engineer,"airflow, Python, GCP, data engineering, ETL"
Hiring For Oracle Sr. Data Engineer,"oracle database, ETL Tool, database development, Cloud Services, sql"
Power BI Developer/Data Analyst/Data Engineer,"Consulting, Data analysis, Power BI, Computer science, Automation, CMS, IT Skills, Azure"
Senior Software Engineer ( Big Data ),"Kafka, Big Data, Python, Cloud, Kanban, SQL, Java, IT Skills, Unix, Hive, Software Development, Scrum, Spark, Hadoop"
Sr. Azure Data Engineer,"shell, Azure, Pyspark, Agile, Data modeling, Python, Azure Data Lake Analytics, SSIS, Data Engineer, MS Office, Spark, SSRS, DevOps, written, Azure Data, Java, verbal communication, Scala, Data migration, analytical, Big Data, Data analysis, Power BI, Cloud, Automation, Analytics, IT Skills"
Data Engineer/Data Analyst,"Kafka, Javascript, Python, Apache Hadoop, Java, AngularJS, Hive, Spark"
"Sr. Specialist, Data Engineer","metadata, Database administration, Computer science, Database design, System design, Application software, Data warehousing, Data modeling"
Senior Data Engineer - Python/ Java,"Python, PHP, Machine Learning, Cloud, Java, IT Skills, Docker, Oracle"
Sr. Big Data Engineer,"KAFKA, Scoop, shell scripts, Python, Testing, Sqoop, REST Web Services, HDFS, Hive, Spark, NoSQL, DevOps, Jenkins, SPARK, R, Continuous Deployment, EMR, Software Development, Shell Scripting, Hadoop, Big Data, Data analysis, Cloud, SQL Query, HBase, IT Skills, hadoop, ETL, Python scripting, SOAP"
Senior Data Science Engineer,"Oracle, Python, AWS, Testing, Machine Learning, Cloud, XML, python, CSV, JSON, IT Skills, Tableau, Talend, Artificial Intelligence, Data Science, Hadoop"
Senior Staff Engineer - Data Engineering,"nosql, Metadata management, Data Modelling, Semantic Data Modeling, data architect, data analysis, ETL, Data Architectural"
KDB Data Analyst/Engineer Quantitative Brokers,"Unix, Linux, Analytical, Data analysis, Data management, C++, Quantitative research, Fixed income"
Data Analyst/Engineer - VBA/Python,"VBA, SQL Server, Data Analyst, R, Database administration, Data Visualization, ETL, MySQL"
Senior Software Engineer: Java and Big Data,"Core Java, Coding, GIT, Data structures, Maven, Apache, Oracle, MySQL"
Sr Specialist Data Management Engineer,"Management, Wealth management, Database administration, Computer science, Data management, Data quality, Fund accounting, Data modeling"
Azure Data Engineer,"Data Analysis, Azure SQL DB, Project implementation, SDLC, Interpersonal skills, HD Insight, CosmosDB, Computer science, PySpark, Data warehouse, C++, Nosql, Pyspark, Spark SQL, Oracle, PowerShell, Managed services, Microsoft Azure Stack, Data Flow, Azure Data Services, Testing, metadata, IT services, Scheduling, Technical architecture, azure databricks, .Net, Azure Blob, query, Azure Data Catalog, NoSQL, scala, Analytical, Performance tuning, ADLS, RDBMS, REST APIs, 'Java, Operations, Performance testing, Ci / Cd, Cosmos, communication, Azure SQL Pools, Scalability, Performance Tuning, Business intelligence, analytical, Azure Data Factory, Data Factory, C #, spark, Coding, Etl Developer, VNET, ASP.Net, Azure Functions, azure, Azure Data Bricks, Automation, Database testing, Database architecture, Market intelligence, REST API, Consulting, Cosmos DB, performance tuning, data modeling, PLSQL, python, Programming, Data factory, Azure Datalakes, Microsoft Azure, SparkSQL, factory, Kafka, Azure Data lake, cassandra, SCALA, SQL Server, Business process, Nifi, Powershell, Data Ingestion, Databricks, SQL Server integration services, Data management, Gap analysis, SQL queries, DevOps, Data analytics, Azure Data, Snowflake, J2Ee, PDF, MS SQL, ADF, Data Science, Azure Data Lake Gen2, Azure Blob Storage, Azure SQL, Azure SQL Data Warehouse, Customer acquisition, data services, Data bricks, PL / SQL, sql server, data analysis, azure data bricks, CI / CD, Cloud computing, Azure AWS, Data structures, Azure Analysis Services, Data processing, ETL, ADB+ADF+Python, Microservices, Aws, Project management, azure data lake, Presales, Analysis Services, Analysis services, ASP NET, Sql Queries, Mongodb, ADLS SQL Server, no SQL, Azure, Application development, Azure Devops, Azure sql, SQL database, data warehouse design, Asap, airflow, Unit testing, azure data, Data Integration, Database, SSIS, HR, written communication, SQL Development, Spark Python, SQL, Informatica Power Center, Azure Data bricks, Manager Technology, SQL Server Management Studio, Architecture, Datawarehouse, SQL DWH, Java, etl tool, Docker Containerization, pyspark, T-SQL, Infrastructure, System integration, Technical Solutioning, Azure SQL DW, Azure data factory, Cloud Architecture, Power BI, Microsoft Stack Development, Cloud, Network security, testing, IT Skills, Change management, Mentor, Data Modeling, Azure data bricks, Javascript, Azure Data Lake, Machine Learning, Azure Data Engineer, SSAS, API, Azure Synapse, Azure Databricks, MOB, orchestration, data reconciliation, verbal, Monitoring, Backend, azure data factory, Devops, Python, SQL DBs, Data Structures, power bi, Data Warehousing, Open source, ADB, github, sql, Data Engineer, Data Mapping, Spark, Data Analytics, SSRS, Synapse, Service Bus, written, debugging, Azure SQL DW / Synapse, Data Scientist, Azure SynapseAzure, Machine learning, Data Visualization, azure cloud, Scala, Artificial Intelligence, Big Data, Shell Script, Event Grid, Azure SQL server, Data analysis, J2EE, Management, SIDE, Apache Spark, microsoft azure, Data warehousing, Analytics, OOPS Concepts, Data Lake, Agile Methodology, Power Bi, Sql Server, Version control"
Data Engineer (Pyspark),"Big Data, Python, data mining, SQL, Java, IT Skills, Pyspark, analytical"
Job | Azure Data Engineer || Fractal Analytics,"Azure Data Factory, Python, Cloud, Pyspark, IT Skills, SQL, Azure, Artificial Intelligence"
Data Engineer - II,"Python, Predictive Modeling, Algorithms, R, Segmentation, SQL, Git, Shell Scripting"
Principal Data Engineer,"Javascript, data governance, Schema, Computer science, Programming, JIRA, Unix, Teradata, Elastic Search, Cataloguing, Backend, Data modeling, Agile, Scrum, Python, Unit testing, Testing, metadata, Database design, Linux, SQL, microsoft, Hive, PCI DSS, Spark, Perl, jQuery, Analytical, DevOps, SOC, Performance tuning, Agile methodology, Java MapReduce, Accounting, Data dictionary, Delta, test driven development, Project delivery, Reporting tools, Java, RDBMS, MIS, J2Ee, Bfsi, MS SQL, Software Development, Scala, Artificial Intelligence, Apache, Coding, Hadoop, Business intelligence, Big Data, spark, Product Management, Data analysis, ISO 27001, Cloud, XML, Information technology, Data quality, Automation, Analytics, JSON, IT Skills, Data structures, Hibernate, Networking, MySQL"
External Data Engineer,"Analytical, Procurement, data science, big data, Interpersonal skills, Data quality, Data warehousing, Agile"
Data Engineer - Flipkart AI Data Center,"Data Engineering, data modelling, SQL, python, hadoop., Spark"
Data Engineer-Azure-- PAN India Location,"Synapse, ADLS, Data Modelling, Databricks, SQL DB, PowerBI, ADF, Azure Stack"
HCL is hiring For Data engineer - Hyderabad/Pune/Bangalore,"PL / SQL Automation, SCALA, SQL, Java, GIT, Pyspark, Spark, Hadoop"
Cloud Data Engineer Role at Genpact,"AWS Sagemaker, Spark"
Cloud Data Engineer,"Bigdata Technologies, AWS, Computer science, Oracle, IT services, Database design, Excel, NoSQL, Analytical, RDBMS, Cosmos, Docker, Coding, Data migration, XML, Redshift Aws, Automation, MY, Informatica, Consulting, Information security, Cloud Services, python, Industry research, aws, Kubernetes, cassandra, MongoDB, Front end, SQL Server integration services, Data management, microsoft, DevOps, stepfunction, Shell Scripting, Apache, Ruby, PostgreSQL, Pig, OLAP, Data structures, ETL, AWS API, Aws, Project management, Automation Anywhere, Azure, Agile, Continuous improvement, Gcp Cloud, SSIS, Troubleshooting, SQL, Manager Technology, Renewable energy, Lamda, Java, Healthcare, Mongo, Cloud, Information technology, IT Skills, Machine Learning, orchestration, Monitoring, Teradata, Data modeling, Backend, Python, Open source, GCP, Linux, Spark, IT recruitment, Machine learning, Big Data, Data analysis, Siemens, Apache Spark, Data warehousing, Analytics, JSON"
Scala data engineer,"Azure Data Factory, SCALA, Azure Databricks"
Opening For Azure Data engineer -Immediate-15 days,"Python, Microsoft Data, scikit, Azure Data Bricks, Azure Data engineer, Azure, Spark SQL, Data Factory pipelines"
Hiring For Data Engineer- Kolkata / Bangalore,"Data Analysis, Big Data, Python, Github, Pyspark, Hive, Data Mining, Hadoop"
Procurement Data Engineer,"azure cloud, Procurement, Kubernetes, data bricks, Docker"
Data Engineer Business Intelligence,"query, Query management, Cognos, Cognos 11 version, Cognos Analytics, SQL, report studio, Framework manager"
Data Science Expert - Quality & Test Engineering,"Data analysis, Test Engineering, data science, SVM, Data mining, Numpy, Logistic Regression, SQL"
AWS Cloud Data Engineer,"sagemaker, SQS, python, Aws Cloud, glue, EC2, Python, Testing, Spark, Glacier, S3, Java, Athena, communication, Scala, Data Science, Hadoop, Big Data, spark, Cloud Formation, Amazon Redshift, dynamo DB, IT Skills, SNS Cloudwatch"
Data Adoption + Business Analyst,"Market Risk, SDLC, Data dictionaries, Business Analyst, Credit Risk, Data modeling"
Informatica _ Data Engineer,"Analytical, Schema, PLSQL, Computer science, Automation, Debugging, Informatica, Agile"
Data Engineer III,"Quality Assurance, Schema, Computer science, Product management, Risk assessment, Merchandising, Monitoring, Production support, Agile, Python, Continuous improvement, SCALA, data science, Testing, Supply chain, Open source, GCP, Linux, NoSQL, Distribution system, Analytical, Performance tuning, Performance Testing, Java, RDBMS, Machine learning, Manager Quality Assurance, MS SQL, Coding, Sensors, Stored procedures, big data, Cloud, Analytics, Automation, IT Skills, MySQL"
Microsoft Modern Data Platform Data Platform Engineer,"Microsoft Modern Data Platform, Power BI, written, SQL, Databricks, Troubleshooting, verbal, Datalake Azure"
SDE III | Data Engineer | Data & Analytics,"Customer Service, Big Data, Data Structures, Technology, Monitoring And Logging, Supply Chain Management, Distributed Systems, Scala"
Business Analyst - Data Governance (MNC Big4),"EDC, Axon, Data Security, Communication, Business and technical Metadata management, MDM, Informatica, MDM Tools, Data Governance"
"Data Engineer- Alteryx, SQL & ETL tools","Alteryx deginer, database development, stored procedures, data modeling, etl, sql queries, alteryx"
GCP Data Engineer with Looker Experience,"Gcp Cloud, python, Java, Query Optimization, GCP, looker, Tableau, Hadoop"
DA&I DATA ENGINEER,"Data analysis, Statistics, Database, Trend analysis, Research, Business Analyst, Predictive modeling, System testing"
Data Architecture and Engineer,"Data Analysis, Big Data, Data Architecture, Cloud, Etl, Data Governance, Finance, Data Analytics"
"Staff , Data Engineer","SAN, Backend, Data analysis, Healthcare, Business intelligence, Data quality, Data processing, Coding"
Azure Data Engineer - Assistant Manager/Manager,"Azure Data Factory, Big Data Spark SQL, Cloudera Hadoop, HDFS, Alteryx, SSIS packages, ETL, Scala"
Big Data QA Engineer,"NoSQL, Test scripts, Unix, Python, Agile methodology, AWS EMR, Test execution, CI / CD, Java, JIRA, Data warehouse, GIT, AWS big, Linux, Athena, Redshift"
BI Data Engineer,"Taxation, SAS, Computer science, Scrum, Oracle, Data modeling, Python, Google Cloud, SSIS, BigQuery, SQL Server reporting services, Unix shell scripting, SSRS, NoSQL, Compliance, Architecture, Organizational development, Informatica ETL, MS SQL, communication, Google BigQuery, tableau, Automation, Informatica"
Java + Big Data Engineer,"Object - Oriented Design, Big Data, Core Java, Data Structures, Design Patterns, Software Development, Data Quality, Spark"
Data Engineer - Azure,"Azure Data Factory, Python, Azure Data Lake, Analysis Services, Data Architecture, Cloud, cloud security, Java, Etl, Automation, IT Skills, Azure, Training, Data Engineer, Data migration"
Python + Big Data Engineer,"Data Structures, Design Patterns, Data Processing, Spark, Nosql, Etl Tool, Big Data Engineer, Hadoop"
Data Engineer-Azure,"Schema, RDBMS, Computer science, Database design, Data quality, Informatica, Monitoring, Teradata"
Data Engineer: Master Data Management,"Consulting, Technology solutions, Interpersonal skills, ActiveVOS, Workflow, Agile, Elastic Search, Data modeling, Database, Web services, Troubleshooting, IT infrastructure, Creative designing, Architecture, Java, Data Warehouse, UI development, MDM, Coding, Time management, Management, Master data management, Data warehousing, Informatica MDM, Debugging, Informatica, IT Skills"
Data Engineer: Advanced Analytics,"Kafka, Python, AWS Lambda, Data analysis, AWS, S3, SOA, FTP, IT Skills, SQL, ETL, Lambda, Scrum, Project management"
Data Protection Engineer,"Patch management, Manager Internal Audit, cyber security, Cloud, security, HP data protector, IT Skills, Azure, communication, PCI DSS, remediation"
"Principal Engineer, Data Platform (Data-as-a-Service)","Big Data, Python, Core Java, Java, IT Skills, Software Development, Scala, Hadoop"
Big Data DevOps Engineer,"NoSQL, DevOps, Big Data, MongoDB, Redis, Cassandra, Elastic Search, MySQL"
"Technical Solutions Engineer, Big Data, Google Cloud","Javascript, Python, Machine Learning, Cloud, Java, IT Skills, Unix, Data Science"
Data Consulting Data Platform Engineer,"Consulting, DevOps, Healthcare, Procurement, Blockchain, Supply chain, Data management, IoT, Automation, Informatica, Azure, Bfsi, Agile, Strategy, Collibra"
Power BI Data Analyst,"SQL queries, Stored Procedure, Power BI, T, Communication, IT Skills, SQL, ETL"
Business Analyst/Data Analyst,"Data analytics, SDLC, Business Analyst, presentation, software development lifecycle, IT Skills, communication, Software Development"
Principal Data Analyst I,"Brd, Use Cases, Exploratory Data Analysis, Asset Management/, Data Visualization, Tableau, Artificial Intelligence, Data Analytics"
Data Analyst with leading Indian MNC,"agile, metrics, agile environment, Analytics, Business Understanding, Data Analysts, KPIs"
"Analyst, Data Governance I","Markit EDM, Power BI, Informatica EDC, Tableau, Informatica DQ, Data Governance, Informatica Power Center, Data Management"
Big Data (Data Analysis) Developer,"Python, Data analysis, Staffing, hive, XML, big data, IT support, network services, sqoop, HBase, oozie, Application design, Unix shell scripting"
Research Scientist,"Consulting, Genetics, endpoint security, Research, Computer science, Workflow, Monitoring, C++, Telecom, Python, WAN, Time series analysis, Data management, Linux, Intellectual property, cyber security, Medical devices, Customer service, Big Data, Data analysis, Oncology, Healthcare, Cloud, IT Skills, machine learning, Diagnostics, Molecular biology"
Team Lead/Consultant-Data Science,"Consulting, Machine Learning, Business administration, Python, Publishing, data science, Cloud Bigtable, SQL, Predictive Modeling, Statistical analysis, Natural language processing, management, Architecture, Machine learning, Artificial Intelligence, Data Science, Senior management, Cloud, Management, Data mining, Analytics, IT Skills"
Snowflake Data Warehouse Application Lead,"Consulting, performance tuning, Unix Shell Scripting, metadata, PL / SQL, access, SQL, Snowflake, RDBMS, E-learning, data security, Data structures, MSP, Azure, communication"
"SR. ASSOCIATE, SOFTWARE ENGINEERING(Data Engineering)","Postgresql, Open source, microsoft azure, Computer science, Wellness, Data processing, Process improvement, MySQL"
"Senior Data Analyst, DMAT (Data Management and Analytics Tools)","Data Analysis, Big Data, Python, Senior Data Analyst, Spark Sql, Data Analyst, E - Commerce, Business Analysis, Ecommerce, Communication Skills, Analytics, Time Series, Tableau, Data Management"
Sr Customer Data Analyst(Bangalore),"SQL, business analyst, data optimization, google spreadsheet, Analytics, data, microsoft excel, visualization tools"
"Senior Analyst, Data Science & Analytics","Consulting, Analytical, Macros, Automation, Linux, Portfolio management, Operations research, Business intelligence"
Sr Data Warehouse Analyst,"database performance tuning, SSAS, SSIS, testing, Microsoft BI, SSRS, Oracle, analytical"
Sr. Big Data Analyst,"Big Data, Python, Performance tuning, SCALA, SAS, Computer science, GIT, IT Skills"
