Job_Role,Company,Location,Skills/Description,Min Experience,Max Experience
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Gradle, Android SDK, JSON, XCode, UI Development, BitBucket, GitHub, HTML",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Automation, Networking, Configuration management, Javascript, Agile, Perl, Customer service, Apache",4.0,5.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"SAN, Backend, GIT, MySQL, Javascript, Agile, Project planning, MVC",6.0,11.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, HTML, CSS, Javascript, UI development, SAN, Coding, Agile",8.0,13.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, SAN, Front end, MySQL, Javascript, Agile, Customer service, Test cases",3.0,5.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, Maven, Automation, Coding, Business analysis, Configuration management, Agile, Issue resolution",6.0,8.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, Backend, RDBMS, Shell scripting, Javascript, Agile, Technical Lead, Business modeling",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, Analytical skills, Technical analysis, Business analysis, Coding, Agile, Issue resolution, Project planning",2.0,3.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Maven, Automation, Core Java, RDBMS, Coding, Agile, Technical Lead, Selenium",6.0,11.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, Analytical skills, Automation, Coding, Business analysis, Agile, Issue resolution, Project planning",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Python, ANT, OOPs, SOAP services, RDBMS, Java, written, verbal communication",10.0,15.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, Product management, Analytical, Agile, Market research, Healthcare, Product design, Customer service",3.0,4.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Node js, Mocha, Jest, Lambda, EC2, HTML5, CSS3, microservices",4.0,5.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Ahmedabad,"jQuery, Front end, Coding, Javascript, Agile, HTML, Risk management, ExtJS",5.0,8.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Adobe Suite, Sketch, communication, PPT, Engineering services, Prototype, Web technologies, Networking",3.0,6.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Software Development, React.js, Angularjs, Engineering services, Front end, Analytical, Javascript",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Maven, Core Java, project support, Postgresql, MySQL, Agile, Apache, Troubleshooting",3.0,8.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, security compliance, Front end, GIT, Web services, Agile, MongoDB, Business modeling",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, SAN, Front end, GIT, DOM, Javascript, Agile, Business modeling",8.0,9.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"SAN, metadata, Functional testing, Risk assessment, Agile, Regression testing, Scrum, Customer service",4.0,9.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Business process, Engineering services, SAN, Implementation Analyst, Agile, HTML, Business modeling, Customer service",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"SAN, Automation, Manual testing, Functional testing, Agile, Test planning, Test cases, JIRA",5.0,7.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"API, Jenkins, Java, Web testing, selenium, Agile, Appium, Cypress",4.0,9.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"SAN, Automation, Networking, Configuration management, Agile, Customer service, Open source, Information technology",3.0,5.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"SQL Stored Procedures, databases, MSSQL, GIT, AWS RDS, SQL, communication, IT Skills",7.0,12.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"communication, microservices, Spring Boot, API, Java, AWS, Anypoint, Engineering services",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Testing, React.js, Javascript, AWS, SAN, Front end, DOM",4.0,6.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Python, Testing, Cloud, DevOps, Jenkins, AWS, SAN",5.0,7.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Software Development, Testing, MS SQL, .Net, Business process, SAN, UML",8.0,13.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Zeplin, Figma, UI, Illustrator, Photoshop, Adobe Suite, UX, Sketch",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Testing, SAN, Prototype, Illustrator, Interaction design, Agile, Agile methodology",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Python, Cloud, DevOps, Jenkins, AWS, SAN, Backend",3.0,5.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Ahmedabad,"Automation Tools, Java, Software Development, Design Patterns, Appium, Swift, Version Control, Selenium",4.0,9.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"SVN, Coredata, Xib, Swift, Sqlite, software development lifecycle, GIT, object - oriented concepts",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Micro services architecture, API Testing, QA automation, Rest Assured, Java, AWS, Communication, Selenium",10.0,20.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"SAN, Backend, XML, Agile, HTTP, JSON, Customer service, Information technology",4.0,6.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Ahmedabad,"Kotlin, Emulator, Espresso, JUnit, Bamboo, Maven, Appium, Agile",2.0,3.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Solution architecture, SAN, Automation, Networking, Enterprise applications, Agile, Troubleshooting, Information technology",4.0,9.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, Analytical, Agile, Software development life cycle, Manager Technology, Healthcare, Technical Lead, Business modeling",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Software Development, Engineering services, SAN, Microsoft Certified Professional, Service engineering, Agile, ASP.Net",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Python, Software Development, Testing, Selenium, Jenkins, automation framework, SAN",8.0,13.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, React.js, HTML, CSS, Javascript, SAN, Wordpress, CMS",5.0,7.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Javascript, Engineering services, SAN, Agile, Customer service, Middleware, Information technology",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Java, Cloud, Project Management, AWS, BPO, project management, SAN",4.0,6.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Testing, Performance Testing, SAN, Software design, Agile, Test cases, Customer service",10.0,15.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"CI / CD, Jenkins, written, Selenium, Java, QA automation, AWS, Git",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, Front end, Version control, GIT, Analytical, SQLite, Agile, Healthcare",6.0,11.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, Team management, Agile, Oracle, Troubleshooting, Open source, JIRA, Monitoring",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Big Data, Engineering services, NoSQL, MySQL, Agile, Database, Business modeling",4.0,9.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Hibernate, Java J2Ee Developer, MySQL, Debugging, Agile, Technical Lead, JPA, Agile methodology",2.0,3.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Figma, UI design, communication, Sketch design, UX, IT Skills, Software Development, Engineering services",2.0,3.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Spring boot, Microservices, communication, MVC, Java, MySQL, Junit, Spring",15.0,25.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"SAN, Technical writing, Web development, Javascript, Agile, Application development, JSON, Windows",9.0,14.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"JIRA, qTest, Perfecto, Jenkins, swagger, REST API, QAF, microservices",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","IT Skills, Java, Cloud, Project Management, AWS, BPO, project management, SAN",6.0,11.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","Architect, SAN, Automation, RDBMS, Testing tools, Coding, Javascript, Agile",3.0,4.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","microservices, Core Java, rest controller, MongoDB, troubleshooting, Maven, Spring, Jenkins",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","Selenium, Cypress, Rest Assured, Communication, Micro services architecture, AWS, API Testing, QA automation",4.0,6.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","RDBMS, SOAP services, C#, Selenium Web driver, Appium, Test Automation, Java, NodeJS",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","IT Skills, Testing, Javascript, Engineering services, SAN, DOM, GIT, Social media",6.0,8.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","Illustrator, UX, Adobe Suite, Sketch, Invision App, Photoshop, Zeplin, UI",2.0,7.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","CoreLocation, Singleton, memory management, Cocoapods, object - oriented, GIT, communication, analytical",2.0,3.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","IT Skills, Cloud, AWS, Engineering services, SAN, NoSQL, Technical writing, Agile",2.0,4.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","communication, Android design, Java, Android coding, JSON, Espresso, Hudson, SQLite",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","MobX, JSON, MySQL, NPM, Mercurial, Flux, AWS, Mocha",6.0,9.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"oral, Web Service, SDLC, Agile, test case, API testing, SE, Jira",3.0,8.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Amazon Web services, Java, API Automation, GIT, selenium, TestNG, python, Continuous testing",6.0,7.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Ahmedabad,"IT Skills, Java, Software Development, Testing, Selenium, Performance Testing, Automation, RDBMS",7.0,12.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Printing, Engineering services, Analytical skills, Business analysis, Analytical, Agile, Market research, Product design",7.0,12.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Testing, Cloud, React.js, HTML, CSS, Javascript, SAN",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Jira, SNS, Jenkins, EC2, CI / CD, AWS, microservices, communication",3.0,5.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"TCP, SAN, Automation, Linux, Networking, Configuration management, Agile, DNS",3.0,5.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"MySQL, object - oriented, NoSQL, HTML, Angular JS, Java, J2EE, React JS",3.0,5.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"JIRA, SE, SDLC, MySQL, Java, Selenium, STLC, Agile",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"S3, CircleCI, NLB, Elasticache, Rake, written, SDLC, ALB",2.0,7.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Java, Software Development, SAN, Maven, Core Java, RDBMS, Coding",4.0,9.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Python, Software Development, Testing, Cloud, DevOps, Jenkins, TCP",6.0,11.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"AWS SAM, microservices, verbal communication, Java, SSO, CDN, DevOps, SQL",7.0,12.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Printing, Engineering services, SAN, Business analysis, Analytical, Market research, Product design, Customer service",2.0,3.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"presentation, analytical, communication, Agile methodologies, IT Skills, Product Management, Engineering services, SAN",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"SAN, DOM, TDD, Debugging, Javascript, Agile, Application security, Customer service",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, SAN, MS SQL, GIT, Agile, Business modeling, Customer service, Troubleshooting",7.0,9.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Apache Solr, EMR, Jenkins, Kubernetes, AWS Glue, Flask, CloudFormation, Athena",7.0,12.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Ahmedabad,"Maven, Selenium, XCUITest, Kotlin, TestNG, Agile, Espresso, Cucumber",3.0,5.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"communication, Continuous Delivery, agile, written, Drupal, AWS, Node, verbal communication",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Product Management, Engineering services, Bfsi, Analytical, Agile, Healthcare, Market research",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Communication, Functional Testing, Selenium, Testing, Analytical, SQL, IT Skills, Automation Testing",4.0,9.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"QA, Engineering services, Business process, SAN, Implementation Analyst, Agile, HTML, Customer service",2.0,7.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"T - SQL, SSRS, Microsoft SQL Server, Microsoft SQL Server Reporting Services, SQL Server Reporting Services, Power BI, SQL queries, IT Skills",1.0,3.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"RESTful, RDBMS, SOAP services, OOPs, Java, Python, Gherkin, JUnit",2.0,4.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Software Development, Engineering services, SAN, Prototype, Agile, Software development life cycle, Manager Technology",10.0,15.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, SAN, Customer satisfaction, Agile, Manager Technology, Scrum, Agile methodology, Business modeling",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Cloud, AWS, Engineering services, SAN, NoSQL, orchestration, Technical writing",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Ahmedabad,"IT Skills, Python, Software Development, Testing, Cloud, RPA, SAN, Agile",2.0,3.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"IT Skills, Java, Python, Testing, Cloud, DevOps, Performance Testing, SAN",3.0,8.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Jest, React JS, UX, MobX, structure, MySQL, Webpack, NPM",5.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"JavaScript, JSON, MobX, Angular JS, Webpack, Mercurial, GraphQL, Babel",3.0,5.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"SauceLabs, JavaScript, Software Testing, Jenkins, HockeyApp, Appium, Perfecto, communication",2.0,3.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Computer science, Engineering services, IIS, Linux, Networking, Powershell, MIS, devops",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"Engineering services, Front end, DOM, GIT, Javascript, Agile, Software development life cycle, Technical Lead",4.0,6.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","IT Skills, Testing, React.js, Javascript, AWS, SAN, Front end, MySQL",6.0,10.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","IT Skills, Testing, Performance Testing, HTML, CSS, Javascript, SAN, Debugging",3.0,8.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,"Pune, United States (USA)","mobile testing, application testing, API testing, IT Skills, Testing, Selenium, Cloud, Engineering services",2.0,7.0
Senior Technical Lead (Data Engineer),Infostretch solutions Pvt. Ltd.,Pune,"GIT, Oops, WCF, SQL, JIRA, verbal, Microservices, Entity Framework",6.0,10.0
Azure Data Engineer/ Lead Data Engineer- ADF+ADB+Python(Brillio),CHANGE LEADERS CONSULTING,"Mumbai, Pune, Bangalore/Bengaluru","python, Azure data factory, Azure synapse, Azure, data analysis, analytical, modelling, Data lake gen",12.0,14.0
Job Opportunity with Leading MNC - Azure Data Engineer,Enrich and Enlight,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Azure Data Factory, Pyspark, python, Azure data engineer, Azure Databricks, Cosmo Db, Azure, Databricks Azure Data Catalog",5.0,10.0
Lead Data Engineer,Decision Point Analytics,Gurgaon/Gurugram,"IT Skills, Python, Machine Learning, Big Data, AWS, Azure, Relational Sql, Software Engineering",5.0,7.0
Data Engineering Leader - A&I,Jubilant Foodworks,Noida,Data Engineering,8.0,13.0
Data Engineer Lead - Immediate Joiner,VRIZE,Bangalore/Bengaluru,"Data Engineering, Amazon Redshift, AWS, IT Skills, Java, Python, Data Science, MS SQL",8.0,13.0
Data Engineer( Datasatge/ Snowflake),Allegis Services India Pvt. Ltd.,Hyderabad/Secunderabad,"Datastage, Stored procedures, Troubleshooting, SQL, Python, Administration, Architecture, devops",8.0,12.0
Data Engineer - Tech lead,C42 Engineering India Pvt. Ltd.,Bangalore/Bengaluru,"Product management, Backend, Machine learning, HTML, Business intelligence, Open source, Ruby, Analytics",5.0,10.0
Data Engineering Lead,Snaphunt,Bangalore/Bengaluru,"data engineering, BI, APIs, MongoDB, MySQL, Kafka, front end, .net",0.0,2.0
Data Engineer-Scala-Lead,Onward Technologies Limited,Bangalore/Bengaluru,"Python/NodeJS/Java, scala, spark, aws, EMR, debugging, Apache Spark, NodeJS",4.0,7.0
Chapter Area Lead- Data engineering,CBA Services Private Limited,Bangalore/Bengaluru,"IT Skills, Project Management, BPO, customer service, project management, Product management, Change management, Software design",7.0,8.0
Lead Data Science Engineer - Deep Learning,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,"Data Science, Machine Learning, Deep Learning, Tensorflow, Spark, Machine Learning Algorithm, Pytorch, verbal",3.0,7.0
Data Engineer Lead,NTT Data,Pune,"Computer science, Linux, Coding, XML, Machine learning, JSON, Scheduling, Open source",1.0,3.0
Lead Data Engineer - Architect,AgreeYa,Noida,"IT Skills, Tableau, Business process, Data management, Analytical, SSRS, Schema, Healthcare",2.0,5.0
"Associate/Analyst, Data Visualization",MetrixLab,Hyderabad/Secunderabad,"Associate Analyst, Excel, Packaging, Market research, E-commerce, data visualization, Manager Quality Control, Marketing communication",2.0,5.0
Data Entry Associate/Quality Analyst,T & A Solutions,Chandigarh,"Excel, VLOOKUP, Analytical, Finance, Commerce, Associate Quality Analyst, Data entry",2.0,5.0
Associate/ Analyst- Data / MIS - TA Data Analyst,Protiviti Consulting,Gurgaon/Gurugram,"data analysis, data analytics, ATS, charts, Data Visualization, Dashboards",1.0,2.0
"Associate Analyst, Data Processing",enVista,Hyderabad,"QA, PDF, Associate Analyst, Data processing, QA Associate, Management, Freight, Data entry",2.0,5.0
"Associate, Campaign Marketing (Data Analyst)",Basware India Pvt Ltd,Chandigarh,"IT Skills, Project Management, Digital Marketing, Power BI, BPO, project management, Automation, Business objects",2.0,4.0
Associate-Data Entry Analyst,Chargeback Gurus Fintech Private Limited,Chennai,"MS Office, record keeping, DTP, Excel, Word, written communication, problem solving, data entry",1.0,2.0
"Associate Analyst, Data Processing",enVista,Hyderabad/Secunderabad,"Relationship management, Training, Management Associate, Usage, Compliance, Relationship, Data processing, Data quality",2.0,5.0
Associate Analyst - Consumer Data Projects,GD Research Center Pvt Ltd,Hyderabad,"Analytical skills, Associate Analyst, Data research, market data, Information research, Research, MS Office, Research Associate",1.0,2.0
Associate Data Analyst,CeX WeBuy Entertainment Pvt.Ltd,Mumbai,"SQL queries, Associate Data Analyst, Database, Programming, PLSQL, Data quality, data privacy, Data Analyst",5.0,8.0
Associate Data Analyst,HUSYS CONSULTING LIMITED,Hyderabad,"Help Desk, Customer Service, data analysis, customer relationship, access controls, Telephony support, Asset Management, Vendor Management",12.0,16.0
Associate Data Analyst,WebMD,Navi Mumbai,"Google Analytics, Excel, MS Access, Web analytics, Analytical, Web development, Healthcare, Omniture",4.0,8.0
Senior Azure Data Engineer,STAFFICE GLOBAL PRIVATE LIMITED,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Architecture shell, Scala, Hive, Azure Data Engineering, Spark, Agile, IT Skills, Python",11.0,15.0
Lead Machine Learning Scientist,Hewlett Packard (HP),Bangalore/Bengaluru,"data science, cloud, algorithms, python, r, machine learning, statistics",10.0,15.0
Sr Data Integration Engineer,Apisero,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","SQL, PL / SQL, CDC, sftp protocols, data Data modeling, governance, database, CSV",1.0,4.0
Senior Manager Data Engineer,SDNA Global,"Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","IT Skills, Cloud, Program Management, AWS, Azure, Data Engineering",5.0,10.0
Senior Data Engineer- DevOps,Shell,Bangalore/Bengaluru,"IT applications support, ITIL processes, corporate IT Operations, Workflow Management, Delivery Excellence, Power Bi, SAP BW, Sap Hana",8.0,13.0
"Senior Software Engineer , Data Services",Grab,Bangalore/Bengaluru,"Computer science, Data analysis, data services, big data analytics, Analytical, Database administration, Infrastructure, Information technology",5.0,10.0
Immediate job opening For Senior Cloud Data Engineer,HEPTAGON TECHNOLOGIES PVT LTD,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","cloud, Pyspark, Hadoop Development, Lambda, AWS, IT Skills, Java, Python",2.0,7.0
Senior Data Engineer,Oportun,Remote,"Java, Python, Big Data Analytics, Data Engineering, Scala, PySpark, Kafka, Spring Boot",4.0,6.0
Sr. Data Engineer,CHANGE LEADERS CONSULTING,"Pune, Chennai, Bangalore/Bengaluru","Python, Hive, Hadoop, troubleshooting, spark, NoSQL, cloudera, Mongo",1.0,5.0
Senior Data Engineer,OzyBrains LLP,Remote,"ETL, IT Skills, Python, Airflow, NoSQL, Data Engineering, Tsql Queries, MongoDB",5.0,8.0
Senior Data Engineer BIU,Pramerica Life Insurance,Gurgaon/Gurugram,"Excel, PowerBI, Glue, SQL, S3, python, Sagemaker, DMS",4.0,9.0
Associate Mgr - Data Analytics,Sutherland Global Services Inc,Bangalore/Bengaluru,"IT Skills, Python, Big Data, Tableau, Power BI, Health insurance, Data analysis, Talent acquisition",3.0,6.0
Associate Director - Data Science,IHS Markit,Bangalore/Bengaluru,"IT Skills, Python, Data Science, Machine Learning, Project Management, Big Data, BPO, Computer science",4.0,9.0
senior bigdata engineer or data architect,Rectras Business Solutions Pvt Ltd.,"Pune, Chennai, Bengaluru","Automation, Data analysis, Prototype, Application programming, Data Architect, HTTP, JSON, Data quality",4.0,7.0
Senior Software Engineer Data Platform,Moveworks,Bengaluru,"IT Skills, Cloud, Senior Software Engineer, Data Platform - Bengaluru",7.0,12.0
Opening For Sr. Data Engineer with News Corp(product) - Bangalore,NTS Technology Services Private Limited,Bangalore/Bengaluru,python,3.0,8.0
Senior Software Engineer (Data Engineering),Awake Security,Bangalore/Bengaluru,"Parquet, Java, C#, SQL, Scala, Python, IT Skills, C++",8.0,10.0
Sr. Software Engineer - Data Engineer,CME India Technology And Support Services Pvt Ltd,Bangalore/Bengaluru,"Atlassian tools, JIRA, Confluence, Java, python, Hadoop ecosystem, Scala, infrastructure automation",8.0,13.0
"Sr Professional Services Engineer , Data Engineer",ARM Treasure Data,Bengaluru,"MapReduce, AI, Python, Hive, Hadoop, Pig, Cassandra, Hivemall",5.0,10.0
Data Engineer ( Senior Software Engineer I),Verisk Analytics,Bangalore/Bengaluru,"python, Big Data, SQL queries, S3, Glue Catalog, Hadoop ecosystem, data modelling, HDFS",3.0,5.0
Senior Data Engineering Software Engineer,Dev Solutions,Bangalore/Bengaluru,"data mining, Talend, Hadoop, Spark, Hive, CICD framework, EMR, SQL",7.0,10.0
Senior Software Engineer(Data Engineering),InsideView Technologies,Remote,"Core Java Programming, IT Skills, Java, Python, Algorithms, Multithreading, System Design, Data Structures",3.0,6.0
Project Engineer- Data Analytics (Data Analysis and Machine Learning),Pentair Water India Pvt Ltd,Noida,Data Analytics,5.0,10.0
Sr engineering Manager - Data,News Technology Services,Bangalore/Bengaluru,"Computer science, Network programming, Publishing, Project management, Agile development, Consulting, Relationship, Manager Technology",4.0,6.0
Senior Software Development Engineer - Data,Esper,Bangalore/Bengaluru,"IT Skills, Java, Python, Big Data, Salesforce, Coding, Debugging, Healthcare",4.0,7.0
Sr. Cloud Data Engineer,Intuitive.Cloud,Bangalore/Bengaluru,"IT Skills, Java, Big Data, Data migration, Data management, RDBMS, Consulting, Visual Studio",2.0,3.0
Senior Data Engineer | Product based MNC | Pune,Abzooba India Infotech Private Limited,Pune,"scala, spark, hadoop, Big Data, Big data technologies, Hive, Java, communication",10.0,14.0
Urgent opening For Senior Data Engineer,Abzooba India Infotech Private Limited,Remote,"scala, spark, Big Data, Big data technologies, Hive, Hadoop, Java, communication",6.0,9.0
